review_id,review,rating,date,bank,source,sentiment_label,sentiment_score,model
0,maaliif daddafee install gaafata,3,2025-11-28,Commercial Bank of Ethiopia,Google Play,negative,0.9875526428222656,distilbert-base-uncased-finetuned-sst-2-english
1,good app,5,2025-11-28,Commercial Bank of Ethiopia,Google Play,positive,0.9998493194580078,distilbert-base-uncased-finetuned-sst-2-english
2,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,positive,0.9984679818153381,distilbert-base-uncased-finetuned-sst-2-english
3,why didn't work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,negative,0.9991324543952942,distilbert-base-uncased-finetuned-sst-2-english
4,The app makes our life easier. Thank you CBE!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,positive,0.9996963739395142,distilbert-base-uncased-finetuned-sst-2-english
5,this app very bad 👎,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,negative,0.9997968077659607,distilbert-base-uncased-finetuned-sst-2-english
6,the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,negative,0.9565096497535706,distilbert-base-uncased-finetuned-sst-2-english
7,Good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play,positive,0.999854564666748,distilbert-base-uncased-finetuned-sst-2-english
8,It is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play,positive,0.9998478889465332,distilbert-base-uncased-finetuned-sst-2-english
9,best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,positive,0.9997941851615906,distilbert-base-uncased-finetuned-sst-2-english
10,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Commercial Bank of Ethiopia,Google Play,negative,0.9993435740470886,distilbert-base-uncased-finetuned-sst-2-english
11,nice app...,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,positive,0.9997116923332214,distilbert-base-uncased-finetuned-sst-2-english
12,very good banking service and fast service,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,positive,0.9998499155044556,distilbert-base-uncased-finetuned-sst-2-english
13,thanks blc this app help me to use all time,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,positive,0.9971639513969421,distilbert-base-uncased-finetuned-sst-2-english
14,good,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,positive,0.9998161196708679,distilbert-base-uncased-finetuned-sst-2-english
15,why we can't send money to other people telebirr wallets??,1,2025-11-24,Commercial Bank of Ethiopia,Google Play,negative,0.9984826445579529,distilbert-base-uncased-finetuned-sst-2-english
16,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Commercial Bank of Ethiopia,Google Play,negative,0.9856644868850708,distilbert-base-uncased-finetuned-sst-2-english
17,በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,negative,0.8832131028175354,distilbert-base-uncased-finetuned-sst-2-english
18,wow,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,positive,0.999592125415802,distilbert-base-uncased-finetuned-sst-2-english
19,nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998552799224854,distilbert-base-uncased-finetuned-sst-2-english
20,you are the reason why i got ye chogara himem,1,2025-11-22,Commercial Bank of Ethiopia,Google Play,negative,0.9818922877311707,distilbert-base-uncased-finetuned-sst-2-english
21,it is so smart app i recommend it for everyone,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998483657836914,distilbert-base-uncased-finetuned-sst-2-english
22,excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998434782028198,distilbert-base-uncased-finetuned-sst-2-english
23,ዳጊ,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727,distilbert-base-uncased-finetuned-sst-2-english
24,absolutely right,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,positive,0.9998525381088257,distilbert-base-uncased-finetuned-sst-2-english
25,mid application it's so annoying,3,2025-11-20,Commercial Bank of Ethiopia,Google Play,negative,0.9997883439064026,distilbert-base-uncased-finetuned-sst-2-english
26,I used morethan one year,4,2025-11-20,Commercial Bank of Ethiopia,Google Play,negative,0.9802079796791077,distilbert-base-uncased-finetuned-sst-2-english
27,no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Commercial Bank of Ethiopia,Google Play,negative,0.9920698404312134,distilbert-base-uncased-finetuned-sst-2-english
28,"It's great app,I love this app",5,2025-11-20,Commercial Bank of Ethiopia,Google Play,positive,0.9998750686645508,distilbert-base-uncased-finetuned-sst-2-english
29,Nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,positive,0.9998552799224854,distilbert-base-uncased-finetuned-sst-2-english
30,suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,negative,0.9737536311149597,distilbert-base-uncased-finetuned-sst-2-english
31,not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,negative,0.9991471767425537,distilbert-base-uncased-finetuned-sst-2-english
32,I love you this app,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,positive,0.9998642206192017,distilbert-base-uncased-finetuned-sst-2-english
