review_id,review,rating,date,bank,source,sentiment_label,sentiment_score,model,noun_phrases,themes
0,maaliif daddafee install gaafata,3,2025-11-28,Commercial Bank of Ethiopia,Google Play,negative,0.9875526428222656,distilbert-base-uncased-finetuned-sst-2-english,['maaliif daddafee install gaafata'],
1,good app,5,2025-11-28,Commercial Bank of Ethiopia,Google Play,positive,0.9998493194580078,distilbert-base-uncased-finetuned-sst-2-english,['good app'],
2,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,positive,0.998467981815338,distilbert-base-uncased-finetuned-sst-2-english,"['this application', 'transfer', 'money', 'finance', 'the coutry and foriegn country']",Transactions / Transfers
3,why didn't work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,negative,0.9991324543952942,distilbert-base-uncased-finetuned-sst-2-english,['this app'],
4,The app makes our life easier. Thank you CBE!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,positive,0.9996963739395142,distilbert-base-uncased-finetuned-sst-2-english,"['the app', 'our life', 'you']",
5,this app very bad 👎,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,negative,0.9997968077659608,distilbert-base-uncased-finetuned-sst-2-english,"['this app', 'very bad 👎']",
6,the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,negative,0.9565096497535706,distilbert-base-uncased-finetuned-sst-2-english,['the most advanced app'],
7,Good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play,positive,0.999854564666748,distilbert-base-uncased-finetuned-sst-2-english,['good application'],
8,It is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play,positive,0.9998478889465332,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'nice app']",
9,best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,positive,0.9997941851615906,distilbert-base-uncased-finetuned-sst-2-english,[],
10,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Commercial Bank of Ethiopia,Google Play,negative,0.9993435740470886,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'me', 'the verification key', 'i', 'it', 'your verification key', 'the nearest cbe branch', 'i', 'australia', 'what', 'you', 'me', 'no nearest or furthermost cbe branch', 'so frustrating', 'i', 'my bank account']",
